sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total
500000000,0,16083591168,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1000000000,0,16175865856,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
1500000000,0,16215711744,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2000000000,0,16400261120,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
2500000000,0,16427524096,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3000000000,0,16471564288,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
3500000000,0,16511410176,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4000000000,0,16496730112,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
4500000000,0,16532381696,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5000000000,0,16565936128,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
5500000000,0,16599490560,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6000000000,0,16612073472,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
6500000000,0,16656113664,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7000000000,0,16555450368,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
7500000000,0,16580616192,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8000000000,0,16609976320,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
8500000000,0,16597393408,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9000000000,0,16582713344,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
9500000000,0,16438009856,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
10000000000,0,16456884224,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
10500000000,0,16473661440,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
11000000000,0,16402358272,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
11500000000,0,16360415232,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
12000000000,0,16372998144,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
12500000000,0,16387678208,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
13000000000,0,16316375040,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
13500000000,0,16257654784,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
14000000000,0,16266043392,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
14500000000,0,16274432000,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
15000000000,0,16282820608,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
15500000000,0,16215711744,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
16000000000,0,16222003200,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
16500000000,0,16140214272,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
17000000000,0,16142311424,17179869184,0,137438953472,0,549755813888,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0
